Episode,Env,Steps,Reward
318,1,53,1.0
318,0,5,1.0
318,0,197,1.0
318,0,63,1.0
319,0,236,1.0
319,0,28,1.0
320,0,585,1.0
320,0,90,1.0
320,0,1,1.0
322,1,121,1.0
322,0,21,1.0
323,1,455,1.0
323,1,8,1.0
323,1,1,1.0
323,1,9,1.0
323,1,25,1.0
323,1,6,1.0
324,1,442,1.0
324,1,3,1.0
324,1,291,1.0
324,0,82,1.0
324,0,18,1.0
325,0,195,1.0
325,0,20,1.0
326,0,317,1.0
326,1,32,1.0
326,0,61,1.0
326,1,71,1.0
326,1,44,1.0
326,0,221,1.0
328,1,7,1.0
328,1,9,1.0
328,1,88,1.0
330,0,61,1.0
330,0,20,1.0
330,0,242,1.0
330,1,151,1.0
331,1,170,1.0
331,1,131,1.0
331,0,40,1.0
331,0,62,1.0
332,1,511,1.0
332,1,1,1.0
333,0,366,1.0
334,0,294,1.0
334,1,88,1.0
335,0,677,1.0
335,0,22,1.0
335,0,15,1.0
336,0,184,1.0
336,0,26,1.0
336,0,11,1.0
336,0,383,1.0
337,0,453,1.0
338,0,293,1.0
339,0,483,1.0
339,0,135,1.0
340,1,497,1.0
341,1,237,1.0
341,1,179,1.0
341,1,1,1.0
341,0,239,1.0
341,0,6,1.0
343,1,160,1.0
343,1,31,1.0
345,0,188,1.0
345,0,12,1.0
346,0,522,1.0
346,0,183,1.0
348,0,1,1.0
348,1,457,1.0
348,1,6,1.0
348,0,5,1.0
349,1,80,1.0
349,1,169,1.0
350,1,666,1.0
350,0,110,1.0
351,1,27,1.0
351,0,130,1.0
351,0,67,1.0
352,0,330,1.0
352,0,220,1.0
352,0,167,1.0
353,1,321,1.0
353,1,85,1.0
353,1,2,1.0
354,1,373,1.0
354,1,6,1.0
354,0,2,1.0
354,0,31,1.0
356,1,137,1.0
356,0,165,1.0
357,1,199,1.0
357,1,16,1.0
357,1,93,1.0
357,1,110,1.0
357,1,225,1.0
358,1,218,1.0
359,1,511,1.0
359,1,30,1.0
359,0,231,1.0
361,1,176,1.0
361,1,155,1.0
361,1,1,1.0
363,0,215,1.0
364,0,677,1.0
365,1,142,1.0
365,1,204,1.0
366,0,499,1.0
367,0,445,1.0
367,0,85,1.0
367,1,12,1.0
367,0,1,1.0
368,1,241,1.0
368,0,12,1.0
370,0,46,1.0
370,1,116,1.0
370,1,27,1.0
370,1,136,1.0
370,0,53,1.0
370,1,74,1.0
371,0,459,1.0
372,1,218,1.0
372,1,55,1.0
375,1,410,1.0
375,1,4,1.0
377,1,159,1.0
380,1,50,1.0
380,0,18,1.0
380,0,12,1.0
380,0,66,1.0
380,0,19,1.0
381,0,661,1.0
382,1,231,1.0
382,0,37,1.0
382,0,124,1.0
382,0,164,1.0
383,0,524,1.0
385,0,0,1.0
385,0,2,1.0
385,0,65,1.0
385,0,17,1.0
386,0,734,1.0
387,1,408,1.0
388,1,482,1.0
388,1,211,1.0
389,0,157,1.0
389,0,1,1.0
389,0,1,1.0
389,1,5,1.0
389,1,226,1.0
389,1,115,1.0
389,0,50,1.0
390,1,459,1.0
390,1,23,1.0
390,0,5,1.0
391,0,247,1.0
391,0,183,1.0
391,0,1,1.0
391,0,1,1.0
391,1,9,1.0
391,1,1,1.0
391,1,1,1.0
391,0,36,1.0
391,0,44,1.0
392,1,60,1.0
392,1,10,1.0
392,1,4,1.0
393,1,583,1.0
394,1,735,1.0
394,1,4,1.0
394,1,8,1.0
395,1,188,1.0
396,1,603,1.0
397,0,595,1.0
398,0,453,1.0
398,0,76,1.0
399,1,400,1.0
399,1,118,1.0
401,0,438,1.0
402,0,214,1.0
402,0,38,1.0
402,0,5,1.0
402,0,29,1.0
402,0,9,1.0
402,1,156,1.0
403,0,216,1.0
403,0,56,1.0
403,0,1,1.0
403,1,193,1.0
403,0,64,1.0
404,0,435,1.0
404,0,6,1.0
405,0,292,1.0
405,0,69,1.0
406,1,335,1.0
406,1,4,1.0
406,0,420,1.0
407,0,48,1.0
407,0,181,1.0
409,1,0,1.0
409,0,24,1.0
409,0,400,1.0
409,0,1,1.0
409,1,5,1.0
410,1,292,1.0
410,0,177,1.0
410,1,34,1.0
411,0,137,1.0
411,0,96,1.0
411,0,90,1.0
411,0,51,1.0
411,0,35,1.0
411,0,24,1.0
411,0,106,1.0
412,0,495,1.0
413,1,49,1.0
413,1,93,1.0
413,0,373,1.0
413,0,2,1.0
413,0,7,1.0
414,0,35,1.0
414,1,53,1.0
415,0,551,1.0
415,1,31,1.0
415,1,36,1.0
415,1,151,1.0
416,1,245,1.0
416,1,188,1.0
416,1,119,1.0
417,1,230,1.0
417,1,6,1.0
417,1,4,1.0
418,1,491,1.0
418,0,108,1.0
418,0,52,1.0
420,0,112,1.0
420,1,89,1.0
420,0,20,1.0
420,0,134,1.0
420,0,51,1.0
421,0,186,1.0
422,1,548,1.0
422,1,55,1.0
423,1,376,1.0
423,1,422,1.0
424,1,86,1.0
424,1,106,1.0
425,1,338,1.0
425,0,13,1.0
426,1,823,1.0
427,1,194,1.0
427,1,108,1.0
427,1,1,1.0
427,1,47,1.0
427,1,12,1.0
428,1,349,1.0
428,1,81,1.0
428,1,22,1.0
428,0,70,1.0
428,1,29,1.0
428,1,1,1.0
429,1,341,1.0
429,1,97,1.0
429,0,221,1.0
429,0,6,1.0
429,0,49,1.0
430,0,165,1.0
430,0,112,1.0
430,1,26,1.0
430,0,72,1.0
431,1,384,1.0
431,1,127,1.0
433,1,40,1.0
433,0,42,1.0
433,1,94,1.0
434,0,623,1.0
434,0,197,1.0
435,0,8,1.0
435,0,297,1.0
437,0,25,1.0
437,0,137,1.0
438,0,383,1.0
438,1,70,1.0
440,0,322,1.0
443,0,290,1.0
444,1,258,1.0
444,0,196,1.0
444,0,3,1.0
444,0,38,1.0
444,1,139,1.0
445,1,132,1.0
445,1,96,1.0
448,1,307,1.0
450,0,15,1.0
451,1,615,1.0
451,0,247,1.0
451,0,13,1.0
451,1,109,1.0
452,1,21,1.0
452,1,431,1.0
453,0,67,1.0
453,1,247,1.0
453,1,174,1.0
456,1,10,1.0
456,0,96,1.0
457,0,582,1.0
457,1,138,1.0
458,0,341,1.0
458,1,210,1.0
460,0,2,1.0
460,0,10,1.0
460,0,75,1.0
460,0,5,1.0
460,0,37,1.0
460,0,28,1.0
460,0,82,1.0
460,0,16,1.0
461,0,569,1.0
462,1,228,1.0
462,1,190,1.0
462,1,71,1.0
462,1,31,1.0
463,0,290,1.0
463,1,66,1.0
463,1,8,1.0
463,1,14,1.0
464,0,567,1.0
465,1,523,1.0
465,0,179,1.0
468,1,130,1.0
468,1,55,1.0
468,0,14,1.0
468,0,17,1.0
468,1,53,1.0
468,0,2,1.0
470,0,13,1.0
470,1,74,1.0
470,1,387,1.0
470,1,1,1.0
470,1,3,1.0
473,0,61,1.0
473,1,57,1.0
474,1,739,1.0
474,0,138,1.0
475,1,161,1.0
475,1,30,1.0
475,0,76,1.0
475,0,165,1.0
475,0,49,1.0
477,1,220,1.0
477,1,46,1.0
477,1,3,1.0
478,0,605,1.0
478,0,3,1.0
478,0,64,1.0
479,0,221,1.0
479,0,23,1.0
479,0,34,1.0
479,1,31,1.0
479,1,131,1.0
479,1,5,1.0
481,1,31,1.0
481,0,90,1.0
481,1,195,1.0
481,0,6,1.0
481,0,102,1.0
484,0,134,1.0
485,1,559,1.0
485,0,297,1.0
